premise,choice1,choice2,question,idx,label,Terminology,Culture,Language
Siswa SMA itu rambutnya gondrong.,Gurunya menghukum siswa itu.,Gurunya mengapresiasi siswa itu.,effect,22,0,1,1,0
Pak ogah membantu mobilnya putar balik.,Ia memberikan pak ogah uang receh.,Ia memberikan pak ogah bingkisan parsel.,effect,23,0,1,0,0
Pengunjung itu memberikan tip 5% ke pelayan.,Pelayan itu kesal.,Pelayan itu merasa sangat senang.,effect,24,1,0,1,0
Banyak sekali pungli sepanjang perjalanan.,Ia jadi jengkel.,Perjalanan semakin lancar.,effect,25,0,1,0,0
Ia ingin memberbaharui SIM-C miliknya.,Ia datang ke kantor samsat.,Ia datang ke toko ponsel.,effect,26,0,1,0,0
Sopir truk jarak jauh itu bosan.,Ia menyetel lagu dangdut.,Ia menyetel lagu jazz.,effect,27,0,0,1,0
Pemuda tersebut berlatih angklung setiap hari.,Dia semakin handal bermain musik.,Dia semakin handal dalam menyetir mobil.,effect,28,0,1,0,0
Segerombolan pemuda sedang menjelajah Kalimantan.,Mereka bertemu harimau liar.,Mereka bertemu komodo.,effect,29,0,1,1,0
Saya minum air kobokan.,Saya merasa segar.,Perut saya sakit.,effect,30,1,1,0,0
Got di komplek perumahaan itu tersumbat.,Pak RT menyiramkan cairan pelarut sampah.,Pak RT berinisiasi mengadakan kerja bakti.,effect,31,1,1,1,0
"Hari senin, anak SD itu bangun jam 6 pagi.",Anak SD itu langsung bersiap ke sekolah.,Anak SD itu tidur lagi.,effect,32,0,1,1,0
Ia didatangi pengamen.,Ia memberikan receh ke pengamen itu.,Ia memberikan gitar ke pengamen itu.,effect,33,0,0,1,0
Banyak pembegalan di sekitar komplek.,Saya sangat bahagia.,Saya merasa cemas.,effect,34,1,0,1,0
Pelajar itu ingin menembak temannya di sekolah.,Ia membawa bunga.,Ia membawa pistol.,effect,35,0,0,1,1
Anak itu ingin sekali makan nasi dan ayam goreng tepung.,Ia pergi ke Subway.,Ia pergi ke Burger King.,effect,36,1,0,1,0
Ada kasus demam berdarah di komplek itu.,Mereka mengadakan penyemprotan.,Mereka memanggil detektif.,effect,37,0,0,1,0
Kakinya terkilir.,Ia pergi ke tukang urut.,Ia pergi ke tukang bekam.,effect,38,0,0,1,0
Terlihat layang-layang putus.,Segerombolan anak-anak berlali kabur dari layang-layang itu.,Segerombolan anak-anak mengejar layang-layang itu.,effect,39,1,0,1,0
Alergi kacangnya kumat dan ia gatal-gatal.,Ia makan cendol.,Ia makan ketoperak.,cause,40,1,1,0,0
Orang itu menangis kepedasan.,Ia makan ayam penyet.,Ia makan ayam kremes.,cause,41,0,1,0,0
Listrik di rumahnya padam.,Ia lupa mengisi ulang token PLN.,Ia lupa mengisi ulang token PAM.,cause,42,0,1,0,0
Ia kehabisan tinta kuning.,Ia mencetak 1000 selebaran promosi PDIP.,Ia mencetak 1000 selebaran promosi Golkar.,cause,43,1,1,0,0
Anak kecil itu menjerit ketakutan.,Ia melihat onde-onde.,Ia melihat ondel-ondel.,cause,44,1,1,0,0
Bapak itu merantau ke Jakarta.,Ia ingin jalan-jalan.,Ia ingin mencari penghidupan yang lebih baik.,cause,45,1,1,1,0
Pemuda itu dilarikan ke rumah sakit.,Ia minum bir oplosan.,Ia minum bir pletok.,cause,46,0,1,0,0
Ia masuk ke Indomaret.,Ia kelelahan di luar dan ingin cari tempat duduk.,Ia kepanasan di luar dan ingin mendinginkan diri.,cause,47,1,1,0,0
Ibu pergi ke Pasar Minggu.,Ibu ingin belanja.,Hari ini hari minggu.,cause,48,0,1,0,1
Ia merasa gelisah.,Orang di sebelahnya terlalu banyak makan jengkol.,Orang di sebelahnya hobi makan tempe orek.,cause,49,0,1,0,0
Ibu beli beras ketan.,Ibu mau masak kue lumpur.,Ibu mau masak kue lemper.,cause,50,1,1,0,0
Perempuan itu pergi ke Gambir.,Ia ingin makan siang.,Ia ingin pergi ke luar kota.,cause,51,1,1,0,0
Wanita itu pergi ke Puncak.,Wanita itu butuh istirahat.,Wanita itu sudah bekerja di perusahaannya selama 10 tahun.,cause,52,0,1,0,1
Bapak itu senang sekali.,Ada lemper di kotak makanannya.,Ada lipan di kotak makanannya.,cause,53,0,1,0,0
Ia rajin angkat beban.,Ia ingin terlihat seperti Ade Rai.,Ia ingin terlihat seperti Syahrini.,cause,54,0,1,0,0
Ia pergi ke Soekarno Hatta.,Ia ada keperluan di Bandung.,Ia ada keperluan di Makassar.,cause,55,1,1,0,0
Anak itu ketakutan.,Ia mimpi melihat polri.,Ia mimpi melihat pocong.,cause,56,1,1,0,0
Anak itu menjerit histeris.,Ia naik kora-kora.,Ia naik odong-odong.,cause,57,0,1,0,0
Ia berurusan dengan polisi.,Ia lupa bawa KK saat berkendara.,Ia lupa bawa STNK saat berkendara.,cause,58,1,1,0,0
Pria itu memperbaharui KK miliknya.,Ia baru saja lulus kuliah.,Ia baru saja menikah.,cause,59,1,1,0,0
Dokternya menyarankannya untuk mengurangi konsumsi karbohidrat.,Ia berhenti makan lontong sayur.,Ia berhenti makan rujak buah.,effect,60,0,1,0,0
Ia ingin pergi jalan-jalan ke Ancol.,Ia mengenakan jaket tebal.,Ia mengenakan sunscreen.,effect,61,1,1,0,0
Ia ingin mencari buku bacaan baru.,Ia pergi ke Barnes Noble.,Ia pergi ke Gunung Agung.,effect,62,1,1,0,0
Orang itu sangat mengidolakan Gatot Kaca.,Ia jadi rajin pergi ke salon.,Ia jadi rajin berolahraga.,effect,63,1,1,0,0
Ia diminta membuat laporan tentang pahlawan nasional.,Ia menulis tentang Diponegoro.,Ia menulis tentang Martin Luther King Jr.,effect,64,0,1,0,0
Saya tidak sengaja menumpahkan kuah gulai.,Bajunya menjadi hijau.,Bajunya menjadi kuning.,effect,65,1,1,0,0
Hari ini adalah hari libur Idul Fitri.,Orang-orang pergi mudik.,Orang-orang beritikaf di masjid.,effect,66,0,1,1,0
Diadakan acara keroncong di kampung.,Banyak warga kelaparan.,Banyak warga terhibur.,effect,67,1,1,0,0
Kakakku mengidolakan Joko Anwar.,Kakakku ingin masuk dunia politik.,Kakakku ingin berkarya di dunia film.,effect,68,1,1,0,0
Kakakku mengidolakan Joko Widodo.,Kakakku ingin masuk dunia politik.,Kakakku ingin berkarya di dunia film.,effect,69,0,1,0,0
Siswa SMA itu ingin sekali melanjutkan pendidikan di ITB.,Siswa itu belajar IELTS.,Siswa itu mengikuti bimbel.,effect,70,1,1,0,0
Bapak terlalu banyak mengonsumsi Gudang Garam.,Bapak sakit paru-paru.,Bapak darah tinggi.,effect,71,0,1,0,1
Sekumpulan anak melompat-lompat di TransJakarta.,Mereka ditegur penumpang lainnya.,Banyak anak lainnya yang jadi ikut melompat-lompat.,effect,72,0,1,0,0
Sekumpulan anak melompat-lompat di Trans Studio.,Mereka ditegur penumpang lainnya.,Banyak anak lainnya yang jadi ikut melompat-lompat.,effect,73,1,1,0,0
Ia makan es teler setiap hari.,Ia diabetes.,Ia mabuk.,effect,74,0,1,0,1
Aplikasi QRIS-nya rusak.,Ia panggil tukang servis.,Ia akhirnya pakai kartu debit.,effect,75,1,1,0,0
Ia ingin mendapatkan kursi DPR.,Ia melakukan kampanye besar-besaran.,Ia beli kursi di toko furnitur.,effect,76,0,1,0,1
Pemudi itu ingin sekali makan nasi padang.,Ia pesan tiket pesawat ke Padang.,Ia pesan melalui aplikasi.,effect,77,1,1,0,0
Anak itu berjalan kaki mengelilingi Taman Mini.,Ia tidak lelah.,Ia sangat kelelahan.,effect,78,1,1,0,0
Ia ganteng.,Ia melamar pekerjaan di Tanah Abang.,Ia mengajukan diri sebagai Abang Jakarta.,effect,79,1,1,0,0
Polisi mengamankan stadion.,Ada perseteruan Persija dan Persebaya.,Ada perseteruan NU dan Muhammadiyah.,cause,80,0,1,0,0
Mereka sekeluarga sehari-hari makan raskin.,Bapaknya seorang pemulung.,Bapaknya direktur Telkomsel.,cause,81,0,1,0,0
Rambut gadis itu seperti mak lampir.,Ia jarang mandi.,Ia sering creambath.,cause,82,0,1,0,0
Laporan BMKG membuat warga panik.,Akan terjadi inflasi.,Akan terjadi badai.,cause,83,1,1,0,0
Ia senang tinggal di Kebon Jeruk.,Akses ke kantornya mudah.,Ia bisa makan jeruk setiap hari.,cause,84,0,1,0,1
Ia tidak suka tinggal di Kelapa Gading.,Kelapa membuatnya mual.,Jalanan macet.,cause,85,1,1,0,1
Mahasiswa sedang mengumpulkan dana untuk kegiatan mahasiswa.,Mereka terlihat sedang berjualan piscok.,Mereka terlihat sedang berjualan handphone.,cause,86,0,1,1,0
Tiba-tiba bapak didatangi rentenir.,Foto KTP-nya bocor.,Foto ijazahnya bocor.,cause,87,0,1,0,0
Dia dibawa ke rumah sakit.,Dia tidak sengaja menelan biji salak.,Dia tidak sengaja menelan biji pepaya.,cause,88,0,1,0,0
Ia dirujak teman-temannya.,Ia suka buah-buahan.,Ia beropini yang kontroversial.,cause,89,1,0,0,1
Anak itu diterima masuk UI.,Sekeluarga makan nasi uduk.,Sekeluarga makan nasi kuning.,effect,90,1,1,1,0
Ibu belanja di pasar.,Ia membayar dengan ApplePay.,Ia membayar dengan uang kertas.,effect,91,1,0,1,0
Anak itu ingin merantau.,Ibunya membekalinya rendang.,Ibunya membekalinya kerupuk.,effect,92,0,1,0,0
Kelakuannya seperti dajjal.,Dia banyak dimusuhi orang.,Dia banyak teman.,effect,93,0,1,0,0
Orang itu mengalami kecelakaan mobil.,Ia dilarikan ke UGD.,Ia dilarikan ke puskesmas.,effect,94,0,1,0,0
"Ibu menyampurkan gula, garam, dan jeruk di masakannya.",Rasa makanannya nano-nano.,Rasa makanannya kopiko.,effect,95,0,1,0,0
Aku sedang berhemat.,Aku naik Damri.,Aku naik Blue Bird.,effect,96,0,1,0,0
Saya terlambat masuk kantor.,Saya segera naik angkot.,Saya segera pesan Gojek.,effect,97,1,1,0,0
Ia suka berjemur.,Ia cukup sering main ke Lombok.,Ia cukup sering main ke Lembang.,effect,98,0,1,0,0
Ada pesta makan rengginang.,Banyak remah-remah di lantai.,Mereka ditangkap aparat.,effect,99,0,1,0,0
Ia dikenal sebagai kembang desa.,Parasnya begitu cantik.,Ia banyak menanam kembang di sekitar rumahnya.,cause,100,0,0,0,1
Air seninya bening.,Ia terlalu banyak minum air.,Cat warnanya habis.,cause,101,0,0,0,1
Dirinya dijuluki bermuka badak.,Dia selalu tampil di depan kelas.,Dia suka pakai topeng badak.,cause,102,0,0,0,1
Rumahnya dimakan si jago merah.,Pemilik rumah lupa mematikan kompor.,Si jago merah kelaparan.,cause,103,0,0,0,1
Jalanan macet.,Mahasiswa sedang demo praktikum.,Mahasiswa sedang demo.,cause,104,1,0,0,1
Ia mengadu domba tetangganya.,Tetangganya jadi bertengkar.,Domba tetangganya terluka.,effect,105,0,0,0,1
Anak itu ingin sekali menuntut ilmu di negeri sakura.,Ia pergi ke pengadilan Tokyo.,Ia belajar bahasa Jepang.,effect,106,1,0,0,1
Ia selalu jadi mahasiswi kupu-kupu.,Ia jadi cantik.,Ia kurang pengalaman.,effect,107,1,0,0,1
Ia selalu jadi mahasiswa kura-kura.,Ia kurang tidur.,Jalannya lambat.,effect,108,0,0,0,1
Orang itu sudah bau tanah.,Orang itu hobi kamping.,Orang itu sering sakit.,effect,109,1,0,0,1
"Gadis itu berjalan melewati tukang bakso, tiba-tiba tukang baksonya senyum.",Tukang baksonya sedang kesal dengan gadis tersebut.,Tukang baksonya sedang menyapa gadis tersebut.,cause,110,1,1,1,0
Mertua mendapatkan menantu idaman.,Menantunya kerja jadi freelancer.,Menantunya kerja jadi PNS.,cause,111,1,1,1,0
Di malam hari jalanan sangat ramai.,Hari ini hari sabtu.,Hari ini hari jumat.,cause,112,0,0,1,0
Anak muda itu pakai baju seragam SMA yang sudah dicoret-coret.,Anak muda itu baru lulus sekolah.,Anak muda itu baru diterima di sekolahnya.,cause,113,0,1,1,0
Hari minggu pagi warga kompleks berkumpul bersama.,Warga kompleks akan nonton pertandingan bola.,Warga kompleks akan kerja bakti.,cause,114,1,0,1,0
Murid itu bisa membangun tenda.,Murid itu ikut OSIS.,Murid itu ikut Pramuka.,cause,115,1,1,1,0
Penonton berjoget bersama di lapangan.,Penonton sedang menonton konser dangdut.,Penonton sedang menonton konser metal.,cause,116,0,0,1,0
"Malam ini orang-orang membakar jagung, sosis, dan ikan.",Besok tanggal 1 Januari.,Besok tanggal 17 Agustus.,cause,117,0,0,1,0
"Paman sedang sarungan, kokoan, dan pecian.",Paman mau ke masjid.,Paman mau pergi memancing.,cause,118,0,1,1,0
Malin kundang jadi batu.,Malin kundang mencuri pusaka kerajaan.,Malin kundang durhaka ke ibunya.,cause,119,1,0,1,0
Bawang putih disiksa ibunya.,Bawang putih hanyalah anak tiri.,Bawang putih durhaka ke ibunya.,cause,120,0,0,1,0
"Saat lebaran, suasana kota Jakarta sangat sepi.",Masyarakat sedang nyepi.,Masyarakatnya sedang pulang kampung.,cause,121,1,0,1,0
Laki-laki bugis perlu menabung uang banyak sebelum menikah.,Mahar yang diberikan ke keluarga pasangan mahal.,Uangnya untuk disedekahkan ke yang membutuhkan.,cause,122,0,0,1,0
Lantai rumah jarang berdebu.,Pengunjung lepas sepatu sebelum masuk rumah.,Rumah sering ditinggal pemilik.,cause,123,0,0,1,0
Sepupuku pakai jaket di siang hari.,Sepupuku sedang sakit flu.,Sepupuku takut kulitnya menghitam.,cause,124,1,0,1,0
Saya makan lalapan pakai tangan.,Lebih mudah mengambil lalapannya.,Sebagai bentuk rasa syukur ke Tuhan.,cause,125,0,0,1,0
Kakak sedang membuat sambal terasi.,Kakak membuat sambalnya dengan diulek.,Kakak membiarkan sambal dan bahan lainnya secara mentah.,cause,126,0,1,1,0
Pelajar jogja dilarang keluar rumah diatas jam 10 malam.,Di jogja sering terjadi gempa bumi.,Fenomena klitih sedang marak.,cause,127,1,1,1,0
Aku tidak diperbolehkan menonton pertandingan Persib melawan Persija oleh ibu.,Kemungkinan pertandingan menjadi tidak seru.,Kemungkinan akan terjadi kerusuhan.,cause,128,1,1,1,0
Papa mendapat gaji tambahan di hari raya.,Gaji tersebut adalah uang pensiun.,Gaji tersebut adalah THR.,cause,129,1,1,1,0
"Tahun ini, ujian sekolah pakai LJK.",Murid harus menggunakan pensil.,Murid harus menggunakan pulpen.,effect,130,0,1,1,0
"Tiap awal bulan, ibu pergi ke warung.",Ibu mengisi token listrik dirumah.,Ibu ikut minum kopi di warung.,effect,131,0,0,1,0
Orang itu suka bersantai pakai kaos dalam dan sarung.,Dia dijuluki seperti anak muda.,Dia dijuluki seperti bapak-bapak.,effect,132,1,0,1,0
Punggung pakde sedang dikerok.,Badan pakde tidak perih lagi.,Badan pakde tidak masuk angin lagi.,effect,133,1,1,1,0
Bendahara kelas hari ini ulang tahun.,Bendahara kelas dilempar garam oleh temannya.,Bendahara kelas dilempar tepung oleh temannya.,effect,134,1,0,1,0
Kami menghormati pengorbanan para pahlawan.,Kami mengikuti upacara setiap senin.,Kami mengikuti aktivitas kemah setiap minggu.,effect,135,0,0,1,0
Hari ini hari raya nyepi di Bali.,Jalanan di Bali sepi.,Jalanan di Bali ramai.,effect,136,0,1,1,0
Bibi lagi liburan ke Lombok.,Bibi mampir ke pantai.,Bibi mampir ke tempat ski.,effect,137,0,1,1,0
Teman saya tinggal di sekitaran SCBD.,Dia punya biaya hidup murah.,Dia punya biaya hidup mahal.,effect,138,1,1,1,0
Kakak menjaga kebersihan tubuh.,Kakak mandi dua hari sekali.,Kakak mandi dua kali sehari.,effect,139,1,0,1,0
Aku mendadak lapar saat malam hari.,Aku beli nasi goreng.,Aku beli nasi uduk.,effect,140,0,0,1,0
Adik menyapu lantai tidak bersih.,"Ibu yang percaya mitos berkata ""Nanti suami kamu gembul, lho"".","Ibu yang percaya mitos berkata, ""Nanti suami kamu brewokan, lho"".",effect,141,1,0,1,0
Keluarga Pak Kades selesai makan di restoran.,Pak Kades memberikan uang tips ke pelayan.,Keluarga Pak Kades kembali pulang ke rumah.,effect,142,1,1,1,0
Dosenku membeli nasi padang untuk dibawa pulang.,Dosenku tidak mendapat daging di nasi padangnya.,Nasi yang didapat lebih banyak.,effect,143,1,1,1,0
Hari ini hari raya kartini.,Anak sekolah cewek pakai baju kebaya.,Anak sekolah cewek diliburkan.,effect,144,0,0,1,0
Adik yang masih TK akan berangkat ke sekolah.,Adik menunggu bis sekolah.,Adik mencium tangan orang tua.,effect,145,1,0,1,0
Keluarga kami mau buka puasa.,Kami berbuka puasa dengan makanan manis.,Kami berbuka puasa dengan makanan asin.,effect,146,0,0,1,0
Adik makan ayam tidak pakai nasi.,Makanannya serasa tidak kenyang.,Makanannya serasa tidak enak.,effect,147,0,0,1,0
Keluarga yang percaya mitos itu punya banyak anak.,Keluarga tersebut yakin akan mendapat banyak ilmu.,Keluarga tersebut yakin akan mendapat banyak rezeki.,effect,148,1,0,1,0
Warung kami tidak punya uang pecahan.,Pakai camilan sebagai pengganti uang pecahan.,Pakai permen sebagai pengganti uang pecahan.,effect,149,1,0,1,0
Paman tidak mau diajak ke Malang.,Paman tidak tahan dingin.,Paman tidak tahan panas.,cause,150,0,1,0,0
Aku datang ke acara Mamah Dedeh.,Aku ingin berobat.,Aku ingin curhat.,cause,151,1,1,0,0
Pak Jokowi menjadi lebih dekat dengan masyarakat.,Pak Jokowi sering blusukan ke pasar.,Pak Jokowi sering tampil di acara TV.,cause,152,0,1,0,0
Cewek itu baru saja makan Seblak.,Badannya terasa panas.,Badannya terasa capek.,cause,153,0,1,0,0
Keluargaku kehabisan gas.,Kami baru saja naik mobil mengelilingi Jakarta.,Kami baru saja memasak banyak masakan.,cause,154,1,1,0,0
"Setelah upacara, saya minum cendol.",Badan saya terasa segar.,Badan saya terasa hangat.,cause,155,0,1,0,0
Banyak rombongan study tour mampir ke Monas.,Rombongan study tour bisa melihat pemandangan kota.,Rombongan study tour bisa menikmati suasana udara dingin.,cause,156,0,1,0,0
Aku membawa baju renang sebelum berangkat.,Aku mau ke Gunung Kidul.,Aku mau ke Ancol.,cause,157,1,1,0,0
Andi F Noya melakukan hal yang gila.,Dia membela teroris di sidang hari ini.,Dia mewawancarai teroris di TV nasional.,cause,158,1,1,0,0
Iwan Fals banyak disukai orang orang.,Akting Iwan Fals bagus.,Nyanyian Iwan Fals bagus.,cause,159,1,1,0,0
Bos saya tidak banyak makan nasi saat kerja di Papua.,Sagu adalah makanan pokok disana.,Jagung adalah makanan pokok dimana.,cause,160,0,1,1,0
Bakpia cocok jadi cemilan.,Ukuran Bakpia kecil.,Bakpia sangat renyah.,cause,161,0,1,0,0
Mata paman berkunang-kunang.,Paman bekerja keras seharian.,Paman belum mandi seharian.,cause,162,0,1,0,1
Raja Ampat memberikan pesona yang luar biasa.,Keindahan bawah lautnya yang luar biasa.,Figur dan sifatnya yang sangat berwibawa.,cause,163,0,1,0,0
Pak Raden menggerakkan boneka si Unyil.,Pak Raden sedang berakting.,Pak Raden sedang menceritakan kisah.,cause,164,1,1,0,0
Raul Lemos dan Krisdayanti hidup bersama.,Mereka berdua menikah.,Mereka berdua saudara kandung.,cause,165,0,1,0,0
Sate Madura rasanya manis.,Bumbunya terbuat dari gula merah.,Bumbunya terbuat dari madu.,cause,166,0,1,1,0
Mama tidak suka menonton topeng monyet.,Topeng monyet mengekang kebebasan hewan tersebut.,Bentuk dari topeng monyet yang menyeramkan.,cause,167,0,1,1,0
Bapak mampir ke pom bensin untuk buang air besar.,Bapak tadi banyak makan nasi.,Ember di dalam mobil sudah penuh.,cause,168,0,1,0,0
Aku ke bundaran HI untuk cuci mata.,Aku ingin bertemu cewek cantik.,Mataku kotor terkena debu.,cause,169,0,1,0,0
"Di acara TV, Chef Bondan baru saja selesai memasak .","Dia berkata ""Maknyus"".","Dia berkata ""Chuakz"".",effect,170,0,1,0,0
Bung Tomo berpidato di Surabaya.,Bung Tomo membakar semangat kemerdekaan masyarakat.,Bung Tomo menenangkan amarah jendral Belanda.,effect,171,0,1,1,0
Sore ini cuaca berangin.,Anak-anak bisa main bulutangkis.,Anak-anak bisa main layangan.,effect,172,1,1,1,0
Biji kopinya berasal dari luwak.,Kopi luwak tersebut menjadi enak.,Kopi luwak tersebut menjadi menjijikan.,effect,173,0,1,0,0
Wisatawan pakai kaos hijau ke Pantai Parangtritis.,Orang-orang yang percaya mitos takut dia akan terbakar matahari pantai.,Orang-orang yang percaya mitos takut dia akan terseret ombak.,effect,174,1,1,1,0
Nenek beli pempek kapal selam.,Ia menikmati telur rebus di dalamnya.,Ia melihat pempek tersebut mengapung didalam air.,effect,175,0,1,0,1
Aku berangkat sekolah pakai motor bebek.,Motorku mampu mengapung diatas banjir.,Aku harus pindah gigi secara manual.,effect,176,1,1,0,0
Tutup kaleng kerupuk tidak ditutup dengan rapat.,Kerupuk tersebut melempem.,Kerupuk tersebut basi.,effect,177,0,1,0,0
Aku mau berhemat .,Aku beli pecel lele.,Aku beli ayam goreng KFC.,effect,178,0,1,0,0
Giring Nidji pergi ke atas panggung.,Giring mau menyanyikan lagu.,Nidji dibawa pergi oleh petugas keamanan.,effect,179,0,1,0,0
Pak Tarno menepuk tangannya.,Ia sedang memberikan pujian.,Ia akan memulai sulapnya.,effect,180,1,1,0,0
Anak kompleks sedang bermain gobak sodor.,Mereka berlomba memberikan gobak ke temannya.,Mereka berusaha menghindari halangan temannya.,effect,181,1,1,1,0
Bapak ingin ber-swafoto.,Bapak pakai pose pegangan tangan.,Bapak pakai pose jempol.,effect,182,1,0,1,0
Pedagang itu menjual Kerak Telor.,Dia memutar balikkan wajannya.,Dia menggunakan kulit telor sebagai bahan masakan.,effect,183,0,1,1,0
Istriku ingin beli ikan mas.,Istriku bertransaksi dengan pemuda Jawa.,Istriku akan memasak gulai hari ini.,effect,184,1,1,0,0
Pak Kumis orang Sukabumi.,Pak Kumis menanam pohon.,Pak Kumis bisa bahasa Sunda.,effect,185,1,1,0,1
Abangku sedang di Palu.,Abang berangkat ke Sulawesi.,Abangku terluka dan dibawa kerumah sakit.,effect,186,0,1,0,1
Mbah Surip tiba-tiba mengangkat saya.,Saya dibawa pulang kerumah.,Saya dibawa berkeliling ke berbagai tempat.,effect,187,1,1,0,0
Ariel dan Peterpan sedang naik daun.,Anak-anak semakin sering berimajinasi menjadi tokoh fantasi.,Album mereka semakin banyak yang beli.,effect,188,1,1,0,1
Sapi itu sedang tidak enak badan.,Daging sapinya tidak laku.,Sapinya lemas seharian.,effect,189,1,1,0,1
Kakak kecewa ketika membuka kaleng biskuit.,Isinya ternyata Rengginang.,Kalengnya terbuat dari besi.,cause,190,0,1,1,0
Ibu membeli daun janur menjelang lebaran.,Ibu mau membuat ketupat.,Ibu mau membuat es buah.,cause,191,0,1,1,0
Ada museum bencana alam di Aceh.,Dulu pernah terjadi gempa bumi di Aceh.,Dulu pernah terjadi tsunami di Aceh.,cause,192,1,1,0,0
Pemuda itu berjalan bungkuk ketika lewat depan orang tua.,Pemuda tersebut menghormati yang lebih tua.,Pemuda tersebut mengagumi yang lebih tua.,cause,193,0,0,1,0
Pamanku suka memberi cendol di internet.,Pamanku bermain 1cak.,Pamanku bermain kaskus.,cause,194,1,1,1,0
Kepolisian angkat tangan menangani kasus Novel Baswedan.,Keadilan terhadap Novel Baswedan perlu ditegakkan.,Bukti yang dimiliki sangat sedikit.,cause,195,1,1,0,1
Adik kesemutan setelah tadarusan di masjid.,Adik tidak membersihkan gula yang tumpah.,Adik duduk bersila terlalu lama.,cause,196,1,1,1,0
Kami akan sholat di langgar.,Kami ingin mendapat pahala yang lebih banyak.,Kami ada acara penting yang mendadak.,cause,197,0,1,1,0
Kota Bandung disebut sebagai kota lautan api.,Dulu pernah terjadi perang besar disana.,Dulu pernah terjadi bencana kebakaran besar disana.,cause,198,0,1,1,0
Jalan raya didepan rumah orang tersebut ditutup.,Mereka sedang mengadakan pesta hajatan.,Mereka sedang mengadakan pesta ulang tahun.,cause,199,0,1,1,0
Istriku sudah lama tidak datang bulan.,Kami menunggu bulan purnama tiba.,Kami segera ke rumah sakit.,effect,200,1,1,0,1
Lampu merah pancoran terlalu lama.,Lampu merahnya menjadi mati.,Aku jadi terlambat ke seminar.,effect,201,1,1,1,0
Motor matic temanku mogok di jalan.,Aku melakukan stut motor bersamanya.,Aku memanggil mobil derek untuk mengangkut motornya.,effect,202,0,1,1,0
Anak pejabat punya orang dalam.,Dia diterima tanpa ujian.,Dia tidak perlu lagi mengurus rumah.,effect,203,0,1,1,0
Kami melewati simpang empat tanpa lampu merah.,Ada Pak Raden yang mengatur lalu lintas.,Ada Pak Ogah yang mengatur lalu lintas.,effect,204,1,1,1,0
Banyak orang memasukkan nama Pak SBY ke kotak suara.,Pak SBY menjadi presiden.,Pak SBY bernyanyi dengan semangat.,effect,205,0,1,0,1
Acara wisuda ITS dipenuhi dengan arak arakan.,Seluruh mahasiswa mabuk dan tidak sadarkan diri.,Seluruh mahasiswa bersorak kepada wisudawan.,effect,206,1,1,1,0
